Gender,Age,Height,Weight,family_history_with_overweight,FAVC,FCVC,NCP,CAEC,SMOKE,CH2O,SCC,FAF,TUE,CALC,MTRANS
Female,17.082867,1.640824,43.365005,no,yes,2.815157,3.0,Sometimes,no,2.911187,no,2.595128,1.380204,Sometimes,Public_Transportation
Female,37.532066,1.615385,80.0,yes,yes,2.972426,3.0,Sometimes,no,1.636326,no,0.0,0.0,Sometimes,Automobile
Male,21.0,1.714253,75.0,yes,yes,2.0,3.0,Sometimes,no,1.081597,no,1.0,0.0,Sometimes,Public_Transportation
Male,21.701643,1.896073,90.52446,yes,yes,2.427689,3.715306,Sometimes,no,2.876096,no,1.815768,0.426465,Sometimes,Public_Transportation
Female,21.568951,1.699315,133.10761,yes,yes,3.0,3.0,Sometimes,no,1.733306,no,1.773304,0.921136,Sometimes,Public_Transportation
Male,25.151286,1.761519,112.835195,yes,yes,1.289315,3.0,Sometimes,no,2.007348,no,1.376217,0.001518,Sometimes,Public_Transportation
Female,19.931667,1.653209,49.026214,no,no,2.530066,3.0,Sometimes,no,1.965237,no,2.0,1.0,Sometimes,Public_Transportation
Male,21.0,1.610209,68.865008,no,yes,1.910176,2.938135,no,no,2.943097,no,0.997202,0.207922,Sometimes,Public_Transportation
Female,26.0,1.65782,111.95611,yes,yes,3.0,3.0,Sometimes,no,2.777557,no,0.0,0.051858,Sometimes,Public_Transportation
Male,28.992809,1.909105,129.874864,yes,yes,2.206119,3.0,Sometimes,no,1.483856,no,1.113169,0.0,Sometimes,Public_Transportation
Male,23.806789,1.732492,84.557797,yes,yes,2.992205,3.0,Sometimes,no,2.413813,no,0.458237,0.688293,Sometimes,Public_Transportation
Female,23.647935,1.681394,114.479459,yes,yes,3.0,3.0,Sometimes,no,2.435978,no,0.232742,0.692608,Sometimes,Public_Transportation
Male,30.403205,1.696365,102.815983,yes,yes,2.79166,2.13229,Sometimes,no,1.254589,no,0.652736,1.040713,no,Public_Transportation
Male,23.0,1.77433,90.0,yes,yes,2.116432,3.0,Sometimes,no,1.002292,no,0.0,1.066708,Sometimes,Public_Transportation
Female,38.683794,1.501993,76.642944,yes,yes,2.0,3.0,Sometimes,no,1.0,no,0.0,0.0,Sometimes,Automobile
Male,28.421533,1.829239,107.10819,yes,yes,2.465575,2.935381,Sometimes,no,2.480555,no,1.00183,1.670313,Sometimes,Automobile
Male,19.084317,1.851123,61.264785,yes,yes,3.0,3.994588,Sometimes,no,2.548527,no,1.285976,0.267076,Sometimes,Automobile
Female,19.0,1.61,53.8,yes,yes,2.0,3.0,Always,no,2.0,no,2.0,1.0,Sometimes,Public_Transportation
Female,21.768153,1.76416,133.888629,yes,yes,3.0,3.0,Sometimes,no,2.32502,no,1.441791,0.918468,Sometimes,Public_Transportation
Male,34.821442,1.805459,90.13868,yes,yes,2.0,1.80993,Sometimes,no,2.174835,no,0.340915,0.020153,Sometimes,Automobile
Male,24.521879,1.623278,97.582959,yes,yes,2.973569,2.650088,Sometimes,no,1.003063,no,1.981154,0.157007,no,Public_Transportation
Male,31.571392,1.767485,120.158049,yes,yes,2.57691,3.0,Sometimes,no,2.080187,no,1.04268,0.376683,Sometimes,Automobile
Male,31.034092,1.886109,129.349471,yes,yes,2.499626,3.0,Sometimes,yes,1.125338,no,0.94522,1.022505,Sometimes,Public_Transportation
Female,18.0,1.63,63.0,yes,yes,1.0,3.0,Sometimes,no,2.0,no,2.0,2.0,Sometimes,Public_Transportation
Male,30.0,1.8,91.0,yes,yes,2.0,3.0,Frequently,no,2.0,no,0.0,0.0,Sometimes,Public_Transportation
Female,20.225396,1.550648,44.641796,no,yes,3.0,2.857787,Frequently,no,1.0,no,0.754646,0.0,Sometimes,Public_Transportation
Female,25.895546,1.626179,110.074019,yes,yes,3.0,3.0,Sometimes,no,1.967707,no,0.01437,0.434073,Sometimes,Public_Transportation
Male,38.0,1.7,78.0,no,yes,3.0,3.0,Frequently,no,2.0,no,0.0,0.0,Frequently,Automobile
Male,22.276969,1.84995,121.786485,yes,yes,3.0,2.272214,Sometimes,no,1.555534,no,0.348839,0.0,Sometimes,Public_Transportation
Male,24.002404,1.609418,100.078367,yes,yes,2.885693,1.685134,Sometimes,no,1.011849,no,0.503105,1.217929,no,Public_Transportation
Male,18.0,1.7,90.0,no,yes,3.0,3.0,Sometimes,no,2.0,no,2.0,0.0,Sometimes,Public_Transportation
Female,20.0,1.61,64.0,yes,no,3.0,3.0,Always,no,2.0,yes,0.0,1.0,Frequently,Public_Transportation
Male,37.588628,1.754217,117.8972,yes,yes,2.535154,2.915921,Sometimes,no,1.8924,no,0.693732,0.06741,Sometimes,Automobile
Female,37.441044,1.524293,76.202761,yes,yes,2.0,2.994046,Sometimes,no,1.603549,no,1.335857,0.0,Sometimes,Automobile
Male,23.0,1.835643,58.854416,yes,yes,3.0,3.0,Sometimes,no,2.027984,no,1.661556,0.114716,Sometimes,Automobile
Male,22.977357,1.839699,120.431551,yes,yes,2.382705,2.938902,Sometimes,no,1.999278,no,1.686229,0.630866,Sometimes,Public_Transportation
Male,19.0,1.7,50.0,no,yes,1.0,4.0,Frequently,no,1.0,no,2.0,1.0,Sometimes,Public_Transportation
Female,26.0,1.641918,111.86899,yes,yes,3.0,3.0,Sometimes,no,2.635454,no,0.0,0.088309,Sometimes,Public_Transportation
Male,23.0,1.68,62.0,no,no,2.0,4.0,Frequently,no,2.0,no,0.0,0.0,Sometimes,Automobile
Male,19.565496,1.705584,78.025625,yes,no,1.936479,2.837388,Sometimes,no,2.159987,no,1.475772,0.646514,Sometimes,Public_Transportation
Male,30.02019,1.75834,112.010504,yes,yes,1.868212,3.0,Sometimes,no,2.023328,no,0.0,0.613992,Sometimes,Automobile
Female,18.222536,1.801746,141.166265,yes,yes,3.0,3.0,Sometimes,no,2.418488,no,1.99507,0.893514,Sometimes,Public_Transportation
Female,32.593129,1.721903,72.748903,yes,yes,2.0,3.0,Sometimes,no,1.0,no,0.0,1.339232,Sometimes,Automobile
Female,21.056059,1.730113,152.094362,yes,yes,3.0,3.0,Sometimes,no,2.374958,no,0.750111,0.671458,Sometimes,Public_Transportation
Female,22.209706,1.593847,44.050251,no,no,3.0,2.99321,Frequently,no,2.702783,no,1.967234,0.0,no,Public_Transportation
Female,25.998646,1.640741,104.808542,yes,yes,3.0,3.0,Sometimes,no,2.653531,no,0.190061,0.692343,Sometimes,Public_Transportation
Female,37.613378,1.516007,77.033049,yes,yes,2.0,2.880794,Sometimes,no,1.61837,no,0.120165,0.0,Sometimes,Automobile
Female,19.0,1.63,58.0,no,no,3.0,3.0,Sometimes,no,2.0,yes,0.0,0.0,no,Public_Transportation
Female,18.947102,1.518917,60.267427,no,yes,2.838037,2.737571,Sometimes,no,1.144467,yes,0.753782,1.286844,Sometimes,Public_Transportation
Female,21.0,1.55,50.0,no,yes,2.0,3.0,Sometimes,no,2.0,no,0.0,0.0,Sometimes,Public_Transportation
Male,21.980847,1.819875,106.048516,yes,yes,2.0,3.0,Sometimes,no,2.745242,no,0.0,0.80898,Sometimes,Public_Transportation
Female,26.0,1.623707,105.037463,yes,yes,3.0,3.0,Sometimes,no,2.553198,no,0.0,0.393838,Sometimes,Public_Transportation
